easy | If all birds can fly and a penguin is a bird, then: | Penguins can fly | Penguins cannot fly | Some birds can't fly | Penguins don't exist | 2
easy | If today is Monday, what day comes after tomorrow? | Monday | Tuesday | Wednesday | Thursday | 3
easy | All roses are flowers. Some flowers fade quickly. Therefore: | All roses fade quickly | Some roses fade quickly | No roses fade quickly | Flowers aren't roses | 2
easy | If no reptiles are mammals and all snakes are reptiles, then: | Some snakes are mammals | No snakes are mammals | All mammals are snakes | Snakes aren't reptiles | 2
easy | John is older than Sarah. Sarah is older than Emma. Who is youngest? | John | Sarah | Emma | Can't tell | 3

medium | If "some A are B" and "all B are C", then: | Some A are C | All A are C | No A are C | Some C are A | 1
medium | In a room where everyone either always lies or tells the truth, a person says "I am lying." What are they? | Truth-teller | Liar | Could be either | Paradox | 2
medium | If "whenever it rains, the street gets wet" is true, and the street is dry, then: | It didn't rain | It rained | Maybe rained | Street is broken | 1
medium | All dogs are animals. No cats are dogs. Therefore: | No cats are animals | Some cats are animals | All animals are dogs | Some animals aren't cats | 2
medium | Three people make statements: A says "B is lying", B says "C is lying", C says "Both are lying". Who is telling the truth? | A | B | C | None | 3

hard | In a village where some always lie and others always tell the truth, a person says "If I asked you whether I'm truthful, you'd say yes." What are they? | Truth-teller | Liar | Could be either | Paradox | 1
hard | If "no A are B" and "some C are B", then "some C are not A" is: | Always true | Sometimes true | Never true | Invalid | 1
hard | You meet two people: one says "At least one of us always lies." The other says nothing. Who is truthful? | First speaker | Second speaker | Both | Neither | 1
hard | If "most A are B" and "most B are C", then "most A are C" is: | Always true | Sometimes true | Never true | Invalid | 2
hard | In a logic puzzle where statements made on weekends are false, and someone says "I said this yesterday on a weekday," when was it said? | Weekday | Weekend | Holiday | Never | 1

insane | If "everything I say is false" is true, then: | It's false | It's true | Both | Neither | 1
insane | A law states "This law is invalid." Is the law valid? | Yes | No | Paradox | Depends | 3
insane | In a system where every rule has an exception, can there be a rule without exceptions? | Yes | No | Maybe | System collapses | 2
